순위,곡명,아티스트,앨범
1,공범,Dopein,Blue Sunrise
2,Please love me more,Pa!nter,Please love me more
3,"언제쯤, 어디부터 (with FR:EDEN)",Dumo,"언제쯤, 어디부터"
4,Only Me,이도리,Only Me
5,"그 해 우리는 (Feat. kun, HEMO)",캠퍼 (kvmper),그 해 우리는
6,Onion,SHARKI,Onion
7,INFP (Feat. leeoh),수찬,INFP
8,자동응답 (feat. 서현수),문소낙 (Sonak Moon),자동응답
9,THE LATTE,CHRIS ONE,THE LATTE
10,HURT,vanhymn,HURT
11,NO BRAKE IN MY CAR,지프크락 (ZIPE KROCK),NO BRAKE IN MY CAR
12,want YOU,Tabber,want YOU
13,Venus,JEY,Venus
14,Bad Revenge,from20 (프롬트웬티),Bad Revenge
15,하루필름,HYUN SEO,하루필름
16,"듬뿍 (feat. SHIRT, UNE)",SOQI (쏘키),듬뿍
17,NO THANKS,프리다앤 (FRIDA-ANNE),NO THANKS
18,맴돌아 (Feat. OoOo),Vahn,"지금이라도,"
19,The Best Of Times,hell9,The Best Of Times
20,Generic (Feat. 01),Liam K (리암 케이),The Director's Cut
21,벚꽃이 제일 싫어 (Feat. 920),From 2020,벚꽃이 제일 싫어
22,사랑같은건,JUN0,사랑같은건
23,내일부터,도우너(Douner),내일부터
24,Hello Find You,레이디오울,Hello Find You
25,New Engine,쏘노로스(Sonorous),New Engine
26,지명해줄래 (feat. Vince),다나카(TANAKA),지명해줄래 (feat. Vince)
27,Why,도후,WHY
28,최애,SWAY (스웨이),최애(最愛)
29,하나 둘 셋,Xydo (시도),하나 둘 셋
30,오늘은 네가 보고싶은 밤,라엘 (Ra.L),오늘은 네가 보고싶은 밤
31,했던 말,THRILL (스릴),DAMN!
32,"SO, RRY",5TARBOY,gAp
33,Ruin,curv moon,Ruin
34,Freeze (Feat. NONE),지영씨 (Jiyoungssi),Freeze (Feat. NONE)
35,Flirting (feat. 임정찬),Plo6,Flirting
36,Anima,콜린 (COLLEEN),Love is a warm gun : channel 4
37,A Little Bit Of Love,주은,Love? Love!
38,I Want You,DQT,I Want You
39,Verry,뷰 (VIEW),Verry
40,way to you,15kish,way to you
41,8월의 밤,효웅 (HYOWOONG),8월의 밤
42,꿈,Jinsolam (진소람),꿈
43,나는 너를,손혁준,나는 너를
44,Flower (Feat. 장수빈),Splen (스플렌),Flower
45,물거품,ODD Cloud,물거품
46,잔향,Empty,잔향
47,후회,Wain (웨인),후회
48,Neptune,청실홍실,Neptune
49,너 없는 거리에서,상초롱,너 없는 거리에서
50,fragile fraud,정은석 (jgnsk),fragile fraud
